"T-K521A20","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.20","","","Rosenheim","","","","83026","","SCM52120","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.20","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-13","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-13","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-13","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K500D02","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.02","","","","Köln","","","","27691","","SCM500-02","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"SA211","Company","","0000000","00000","","","0","","","","20111228","I031934","","","VEND","","CN","","","Supplier 211 APJ","","","","","","","","","","211 APJ","","","E","","","","","","","","","","","","","","","","","","","","SUPPLIER 211 APJ","","","","00000000","","","00000000","","","","","","","","",""
"0000100143","Mr.","","0000000","00000","","","0","","","","20021127","OLBERT","","","KRED","","US","","","Adam Richardson","","","","IRVING","DALLAS","","","75038","TX","YCRM01","","","E","","","","","","1151 West Walnut Hill","","","","","","","","","","","","","","ADAM RICHARDSON","","IRVING","","00000000","","","00000000","","","","","","","","4411314901",""
"T-K521A21","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.21","","","Rosenheim","","","","83026","","SCM52121","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.21","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"SA212","Company","","0000000","00000","","","0","","","","20111228","I031934","","","VEND","","CN","","","Supplier 212 APJ","","","","","","","","","","212 APJ","","","E","","","","","","","","","","","","","","","","","","","","SUPPLIER 212 APJ","","","","00000000","","","00000000","","","","","","","","",""
"ARAMI-14","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-14","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-14","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K500D03","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.03","","","","Köln","","","","27691","","SCM500-03","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"0000100148","Herr","","0000000","00000","","","0","","","","20030507","OLBERT","","","KRED","","US","","","Perry Johnson","","","","PHILADELPHIA","PHILADELPHIA","","","19112","PA","JOHNSONPER","","","E","","","","","","11 Southstreet","","","","","","","","","","","","","","PERRY JOHNSON","","PHILADELPHIA","","00000000","","","00000000","","","","","","","","3910130001",""
"T-K521A22","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.22","","","Rosenheim","","","","83026","","SCM52122","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.22","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"SA30","Company","","0000000","00000","","","0","","","","20111214","I800109","","","0001","","CN","","X","APJ Vendor 1","","","","","","","","","","SA31","","","E","","","","","","","","","","","","","","","","","","","","APJ VENDOR 1","","","","00000000","","","00000000","","","","","X","","","",""
"ARAMI-15","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-15","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-15","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K500D04","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.04","","","","Köln","","","","27691","","SCM500-04","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"0000100149","Herr","","0000000","00000","","","0","","","","20030507","OLBERT","","","KRED","","US","","","Jordan Miller","","","","DENVER","DENVER","","","80264","CO","YCRM01/IDE","","","E","","","","","","424 Colorado Street","","","","","","","","","","","","","","JORDAN MILLER","","DENVER","","00000000","","","00000000","","","","","","","","0603101401",""
"SA301","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","Xi'an Industries","","","","Xi'an","","","","710001","250","SA301","","","1","","","","","","1000 East Avenue","","","","","","","","","","","","","","XI'AN INDUSTRIES","","XI'AN","","00000000","","","00000000","","","","","X","","","",""
"T-K521A23","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.23","","","Rosenheim","","","","83026","","SCM52123","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.23","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-16","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-16","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-16","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"0000100153","Company","","0000000","00000","","","0","","","","20030522","WELCH","","","KRED","","US","","","Plastic Cap Inc","","","","CHICAGO","COOK","","","60630","","SCM","","","E","","","","","","1110 Western Ave","","","","","","","","","","","","","","PLASTIC CAP INC","","CHICAGO","","00000000","","","00000000","","","","","","","","1403105101",""
"T-K500D05","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.05","","","","Köln","","","","27691","","SCM500-05","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"FORN-7000","","","0000000","00000","","","0","","","","20001002","LUBACHESCKI","","","BR01","","BR","","","Centro São Paulo","","","","São Paulo","","","","04564-001","SP","BRASIL","","","P","74544297000176","","426.745.178","","","Rua Guararapes 2064","","","","","","","","","","","","","","CENTRO SÃO PAULO","","SÃO PAULO","","00000000","","","00000000","","","","","","","","SP",""
"SA302","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","Henan Ltd.","","","","Zhengzhou","","","","450053","180","SA302","","","1","","","","","","900 Nanyang Road","","","","","","","","","","","","","","HENAN LTD.","","ZHENGZHOU","","00000000","","","00000000","","","","","X","","","",""
"T-K521A24","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.24","","","Rosenheim","","","","83026","","SCM52124","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.24","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-17","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-17","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-17","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"0000100154","Company","","0000000","00000","","","0","","","","20030522","WELCH","","","KRED","","US","","","Caps Inc","","","","SAINT LOUIS","SAINT LOUIS (IND CIT","","","63110","MO","SCM","","","E","","","","","","501 S. Washington Ave","","","","","","","","","","","","","","CAPS INC","","SAINT LOUIS","","00000000","","","00000000","","","","","","","","2651012701",""
"T-K500D06","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.06","","","","Köln","","","","27691","","SCM500-06","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"FORN00-01","","","0000000","00000","","","0","","","","20010327","LUBACHESCKI","","","BR01","","BR","","","Fornecedor Referencia POA","","","","PORTO ALEGRE","","","","91230-000","RS","FORN00-01","","","P","23417793000144","","104912618","","","Rua Caxias 10","","","","","","","","","","","","","","FORNECEDOR REFERENCIA POA","","PORTO ALEGRE","","00000000","","","00000000","","","","","","","","RS 1490",""
"SA303","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","Yangtze Ind","","","","Nanjing","","","","210008","100","SA303","","","1","","","","","","405 North Zhong Shan Road","","","","","","","","","","","","","","YANGTZE IND","","NANJING","","00000000","","","00000000","","","","","X","","","",""
"T-K521A25","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.25","","","Rosenheim","","","","83026","","SCM52125","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.25","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-18","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-18","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-18","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"0000100155","Company","","0000000","00000","","","0","","","","20030522","WELCH","","","KRED","","US","","","Packaging International","","","","AURORA","DU PAGE","","","60504","IL","SCM","","","E","","","","","","711 S. Madison St.","","","","","","","","","","","","","","PACKAGING INTERNATIONAL","","AURORA","","00000000","","","00000000","","","","","","","","1404300901",""
"T-K500D07","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.07","","","","Köln","","","","27691","","SCM500-07","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"SA304","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","GTZ Ltd","","","","Shenzhen","","","","518002","190","SA304","","","1","","","","","","1000 East Shennan Road","","","","","","","","","","","","","","GTZ LTD","","SHENZHEN","","00000000","","","00000000","","","","","X","","","",""
"T-K521A26","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.26","","","Rosenheim","","","","83026","","SCM52126","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.26","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"FORN00-02","","","0000000","00000","","","0","","","","20010607","LUBACHESCKI","","","BR01","","BR","","","Fornecedor Pessoa Fisica","","","","SAO PAULO","","","","03725-000","SP","FORN00-02","","","P","","06357513806","","","","Rua das Nacoes 11","","","","","","","","","","","","X","","FORNECEDOR PESSOA FISICA","","SAO PAULO","","00000000","","","00000000","","","","","","","","SP 5030",""
"0000010089","Company","","0000000","00000","","","0","","","","20050510","KUEBLER","","","0001","","BG","","","Auto Color Bulgaria","","","","City","","","","1608","","GTS","","","E","","","","","","Blvd. Totleben 53-55","","","","","","","","","","","","","","AUTO COLOR BULGARIA","","CITY","","00000000","","","00000000","","","","","","","","",""
"ARAMI-19","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-19","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-19","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"0000100158","Herr","","0000000","00000","","","0","","","","20030731","KRAFT","","","KRED","","US","","","Larry Landlord","","","","NEW YORK","NEW YORK","","","10015","","LANDLORD","","","","","","","","","12 5th Avenue","","","","","","","","","","","","X","","LARRY LANDLORD","","NEW YORK","","00000000","","","00000000","","","","","","","","3306120101",""
"T-K500D08","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.08","","","","Köln","","","","27691","","SCM500-08","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"SA305","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","Hunan Inc","","","","Changsha","","","","410005","160","SA305","","","1","","","","","","800 Wuyi Avenue","","","","","","","","","","","","","","HUNAN INC","","CHANGSHA","","00000000","","","00000000","","","","","X","","","",""
"T-K521A27","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.27","","","Rosenheim","","","","83026","","SCM52127","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.27","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"0000003931","","","0000000","00000","","TRAD","0","","","","19960716","PIEPERMUSIOL","","","0001","","US","","","International Transport Comp.","","","","CHICAGO","COOK","","","60601","IL","TRANSPORT","","","E","","","","","","Michigan Ave","","","","","","","","X","","","","","","INTERNATIONAL TRANSPORT C","","CHICAGO","","00000000","","","00000000","","","","","","","","1403105101",""
"FORN00-03","Company","","0000000","00000","","","0","","","","20020503","LUBACHESCKI","","","BR01","","BR","","","Fornecedor não industrial","","","","PORTO ALEGRE","","","","91566-001","RS","FORN00-03","","","P","17195876000133","","104912618","","","Rua Caxias 1000","","","","","","","","","","","","","","FORNECEDOR NÃO INDUSTRIAL","","PORTO ALEGRE","","00000000","","","00000000","","","","","","","","RS 1490",""
"0000010090","Company","","0000000","00000","","","0","","","","20050510","KUEBLER","","","0001","","IT","","","Pneumatici Italia","GTSC_20040924_154102","","","Milano","","","","20126","","GTS","","","E","","","","","","Viale F. Testi 250","","","","","","","","","","","","","","PNEUMATICI ITALIA","GTSC_20040924_154102","MILANO","","00000000","","","00000000","","","","","","","","",""
"0000100159","Herr","","0000000","00000","","","0","","","","20030731","KRAFT","","","KRED","","US","","","Larry Landlord","","","","NEW YORK","NEW YORK","","","10015","","LANDLORD","","","","","","","","","2 5th Avenue","","","","","","","","","","","","","","LARRY LANDLORD","","NEW YORK","","00000000","","","00000000","","","","","","","","3306120101",""
"ARAMI-20","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-20","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-20","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"SA306","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","Mega Company","","","","Zhengzhou","","","","450003","180","SA306","","","1","","","","","","200 Chengdong Road","","","","","","","","","","","","","","MEGA COMPANY","","ZHENGZHOU","","00000000","","","00000000","","","","","X","","","",""
"T-K500D09","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.09","","","","Köln","","","","27691","","SCM500-09","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"T-K521A28","","","0000000","00000","","TRAD","0","","","","20030324","BURMANM","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.28","","","Rosenheim","","","","83026","","SCM52128","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.28","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"FORN00-04","Empresa","","0000000","00000","","","0","","","","20070323","DEGASPARE","","","BR01","","BR","","","Paulista Group","","","","SAO PAULO","","","","05520-000","SP","FORN00-04","","","P","23417793000144","","0625664110066","","","Rua Faria Lima 5000","","","","","","","","","","","","","","PAULISTA GROUP","","SAO PAULO","","00000000","","","00000000","","","","","","","","SP 5030",""
"0000003940","","","0000000","00000","","","0","","","","19941107","SACHSE","","","0001","","ZA","","","Mitch & Collins","","","","Woodstock","","","","7925","","MITCH & CO","","","E","","","","","","Divisadero Str. 143","","448 - 4527","","448 -  4642","","","","","","","","","","MITCH & COLLINS","","WOODSTOCK","","00000000","","","00000000","","","","","","","","",""
"0000010097","Company","","0000000","00000","","","0","","","","20050510","KUEBLER","","","0001","","CA","","","TIRES WORLDWIDE","","","","Toronto","","","","M4B 1C5","ON","GTS","","","E","","","","","","123 Kingston Road","","","","","","","","","","","","","","TIRES WORLDWIDE","","TORONTO","","00000000","","","00000000","","","","","","","","",""
"0000100160","Herr","","0000000","00000","","","0","","","","20030731","KRAFT","","","KRED","","US","","","Larry Landlord","","","","NEW YORK","NEW YORK","","","10015","","LANDLORD","","","","","","","","","12 5th Avenue","","","","","","","","","","","","X","","LARRY LANDLORD","","NEW YORK","","00000000","","","00000000","","","","","","","","3306120101",""
"ARAMI-21","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-21","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-21","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"SA307","","","0000000","00000","","","0","","","","20111122","SANTORELLO","","","0001","","CN","","","Shijiazhuang Group","","","","Shijiazhuang","","","","050000","060","SA307","","","1","","","","","","208 Weiming Street","","","","","","","","","","","","","","SHIJIAZHUANG GROUP","","SHIJIAZHUANG","","00000000","","","00000000","","","","","X","","","",""
"T-K500D10","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.10","","","","Köln","","","","27691","","SCM500-10","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
